id_day,day,id_teacher,id_space,name,id_building,id_headquarters,building_name,id_university_subject,full_name,semesters,university_subject_code,entry_time,departure_time,group,hours,id_authorization_program,id_program,program_code,program_full_name,id_university_period,id_day_time_slot,id_time_slot
3,Wednesday,T080,11,salon 4,3,1,Sede Principe,621,Taller de Ingeniería I,1,701002C,14:00:00,17:00:00,51,3,7,3,3753,Ingeniería de Alimentos,4,21,5
2,Tuesday,T063,4,Salon 4,2,1,Sede Villa Campestre,383,Introducción a la contaduría pública ,1,802008C,18:20:00,21:20:00,50,3,18,6,3841,Contaduría Publica,4,15,7
4,Thursday,T028,10,Sala de Sistemas 3,3,1,Sede Principe,395,Inglés con fines generales y académicos I,3,204025C,08:00:00,12:00:00,50,4,18,6,3841,Contaduría Publica,5,25,1
2,Tuesday,T070,19,salon 12,3,1,Sede Principe,960,Lectura Crítica,5,204024C,14:00:00,17:00:00,50,3,5,4,3554,Construccion,8,13,5
4,Thursday,T111,17,salon 10,3,1,Sede Principe,208,Política Econ. Nacional e Internacional,5,801082M,07:00:00,10:00:00,50,3,25,2,3845,Administracion de empresas,3,25,1
5,Friday,T094,23,Sala De Sistemas 1	,3,1,Sede Principe,798,Fundamentos de Programación Imperativa,1,750012C,18:20:00,21:20:00,51,3,29,8,2724,Tecnología en Desarrollo de Software,8,39,7
2,Tuesday,T082,5,Salon 5,2,1,Sede Villa Campestre,307,Empaques Para el Manejo de Alimentos,8,745068M,10:00:00,13:00:00,50,3,16,3,3753,Ingeniería de Alimentos,5,10,2
5,Friday,T108,12,salon 5,3,1,Sede Principe,886,Inglés con fines generales y académicos II,4,204026C,14:00:00,18:00:00,54,4,7,3,3753,Ingeniería de Alimentos,7,37,5
6,Saturday,T030,18,salon 11,3,1,Sede Principe,682,Legislación Empresarial,5,801171M,18:20:00,21:20:00,50,3,1,2,3845,Administracion de empresas,4,47,7
2,Tuesday,T007,12,salon 5,3,1,Sede Principe,844,Análilsis y Diseño de Algoritmos I,4,750008C,18:20:00,22:20:00,50,4,29,8,2724,Tecnología en Desarrollo de Software,5,16,8
4,Thursday,T011,11,salon 4,3,1,Sede Principe,741,Fundamentos de Economía y Comercio,2,801002C,10:00:00,13:00:00,50,3,18,6,3841,Contaduría Publica,8,26,2
3,Wednesday,T009,25,Coliseo,2,1,Sede Villa Campestre,1119,DEPORTE FORMATIVO,1,404032C,07:00:00,09:00:00,50,2,5,4,3554,Construccion,8,17,1
1,Monday,T128,13,salon 6,3,1,Sede Principe,1248,ELECTIVA PROFESIONAL: GERENCIA DEL COMERCIO EXTERIOR,9,801224C,10:00:00,13:00:00,50,3,19,2,3845,Administracion de empresas,9,2,2
4,Thursday,T006,23,Sala De Sistemas 1	,3,1,Sede Principe,1063,Desarrollo de Aplicaciones para Dispositivos Móviles,7,750026C,10:00:00,13:00:00,52,3,2,1,3743,Ingeniería de Sistemas,10,26,2
5,Friday,T100,24,Sala De Sistemas 2,3,1,Sede Principe,841,Fundamentos de redes,4,750010C,18:20:00,21:20:00,50,3,29,8,2724,Tecnología en Desarrollo de Software,5,40,8
1,Monday,T025,17,salon 10,3,1,Sede Principe,459,Matemáticas Básicas,1,111023C,16:00:00,18:00:00,54,2,14,8,2724,Tecnología en Desarrollo de Software,5,6,6
6,Saturday,T050,8,salon 1,3,1,Sede Principe,236,Historia De Colombia Con Énfasis Social,1, 207103M,10:00:00,13:00:00,51,3,6,5,3249,Trabajo social,7,42,2
5,Friday,T059,28,Laboratorio de Fisica,1,1,Sede Victoria,112,Experimentación Fisica I,4,106070M,13:00:00,15:00:00,50,3,3,1,3743,Ingeniería de Sistemas,3,36,4
6,Saturday,T010,12,salon 5,3,1,Sede Principe,738,HABILIDADES PARA LA VIDA: DESCUB. EL SER,1,603032C,15:00:00,18:00:00,50,3,26,6,3841,Contaduría Publica,4,46,6
4,Thursday,T032,7,Sala De Sistemas 1,2,1,Sede Villa Campestre,231,Gestión de los Sistemas de Info. Y las Tel.,10,801219M,18:20:00,21:20:00,50,3,1,2,3845,Administracion de empresas,5,31,7
